name;rating;convenience;security;functionality;comment 
Осатаник 61;0.1;1;3;4;Это здание очень функционально.
Плантация 92;1.4;2;4;2;Мне нравится дизайн этого здания.
Шмелиное гнездо 23;1.6;1;4;2;Это здание построено из стандартных строительных материалов.
Академия 57;1.4;2;4;5;Это здание построено из стандартных строительных материалов.
Фабрика 28;2.1;4;2;1;Это великолепное здание!
Котельная 69;3.2;2;4;5;У этого здания отличная архитектура.
Замок 81;3.0;4;5;3;Это здание не имеет особых архитектурных особенностей.
Муравейник 77;3.4;1;4;3;Это здание построено из стандартных строительных материалов.
Кошара 15;1.2;5;3;4;Это здание построено из стандартных строительных материалов.
Виадук 2;4.2;3;2;5;Это здание представляет собой типичный образец современной архитектуры.
Паутинник 26;0.1;1;4;4;Это здание является примером функционального дизайна.
Гараж 31;3.8;3;5;1;Это великолепное здание!
Петля 6;1.0;1;4;1;Это здание очень функционально.
Маяк 88;0.7;4;3;4;Это здание очень функционально.
Паутинник 26;1.0;2;1;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Университет 99;2.8;1;3;2;Это здание представляет собой типичный образец современной архитектуры.
Пасека 52;0.2;1;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Ламарий 93;4.3;3;4;1;Это великолепное здание!
Кинотеатр 84;0.7;1;4;1;Это здание построено из стандартных строительных материалов.
Плантация 92;5.0;1;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Аэропорт 68;3.7;4;1;2;Это здание имеет стандартную конструкцию.
Банк 74;3.5;2;5;2;Это здание является примером функционального дизайна.
Мушиный лабиринт 62;1.4;3;4;4;Мне нравится дизайн этого здания.
Замок 81;2.8;1;3;4;Это здание имеет стандартную конструкцию.
Мост 30;0.2;4;2;2;Это здание построено из стандартных строительных материалов.
Котельная 69;0.6;3;4;4;Это здание представляет собой типичный образец современной архитектуры.
Ламарий 93;2.8;4;2;5;Это здание не имеет особых архитектурных особенностей.
Ламарий 93;2.8;4;3;4;Это здание является примером функционального дизайна.
Берлога 36;3.0;1;4;4;Это здание не имеет особых архитектурных особенностей.
Шмелиное гнездо 23;4.2;5;4;1;Это здание представляет собой типичный образец современной архитектуры.
Кубло 25;1.4;5;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Библиотека 51;1.0;2;1;4;Это здание очень функционально.
Лежбище 58;4.5;3;4;3;Это здание прекрасно вписывается в окружающий ландшафт.
Кошара 99;3.8;5;4;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Церковь 97;2.8;3;1;3;У этого здания отличная архитектура.
Путепровод 8;2.7;1;5;3;Это здание является примером функционального дизайна.
Гусятник 51;2.5;1;5;3;Это здание имеет стандартную конструкцию.
Церковь 97;0.5;1;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Почта 40;0.6;4;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Фабрика 28;2.1;4;5;5;Это здание не имеет особых архитектурных особенностей.
Церковь 97;1.0;3;5;5;У этого здания отличная архитектура.
Лежбище 58;3.6;3;3;3;Это здание имеет стандартную конструкцию.
Мушиный лабиринт 62;2.9;3;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Петля 6;4.2;1;3;4;Это здание представляет собой типичный образец современной архитектуры.
Университет 99;2.6;4;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Маяк 88;1.0;4;4;4;Мне нравится дизайн этого здания.
Ламарий 93;2.5;3;3;5;Это великолепное здание!
Мануфактура 92;3.9;5;4;3;Это здание является примером функционального дизайна.
Пасека 63;3.8;5;4;3;Это здание представляет собой типичный образец современной архитектуры.
Мушиный лабиринт 62;1.1;4;4;2;Это здание является примером функционального дизайна.
Ламарий 93;1.3;3;4;3;Это здание очень функционально.
Аэропорт 68;1.6;5;2;5;Это здание представляет собой типичный образец современной архитектуры.
Магазин 19;2.1;4;3;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Лосятник 92;2.3;4;2;5;Это здание очень функционально.
Магазин 19;2.0;4;5;2;Это здание является примером функционального дизайна.
Муравейник 68;2.4;4;2;5;Это здание имеет стандартную конструкцию.
Петля 6;0.6;4;4;2;Это здание построено из стандартных строительных материалов.
Гараж 31;0.1;5;3;5;Мне нравится дизайн этого здания.
Виадук 2;1.3;3;4;3;Это здание не имеет особых архитектурных особенностей.
Магазин 19;5.0;4;3;5;Это здание очень функционально.
Маяк 88;1.1;5;5;5;Это здание имеет стандартную конструкцию.
Фабрика 100;4.4;3;4;1;Это здание является примером функционального дизайна.
Бункер 97;3.4;2;2;5;У этого здания отличная архитектура.
Церковь 97;0.7;2;3;4;Это здание построено из стандартных строительных материалов.
Порт 71;4.4;1;5;4;Это здание имеет стандартную конструкцию.
Муравейник 68;0.9;2;2;5;Мне нравится дизайн этого здания.
Банк 74;3.6;2;2;1;Это здание представляет собой типичный образец современной архитектуры.
Гусятник 51;4.9;1;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Аэропорт 68;1.0;4;5;2;Это здание представляет собой типичный образец современной архитектуры.
Цирк 69;4.7;2;5;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Мануфактура 92;3.8;3;2;5;У этого здания отличная архитектура.
Академия 57;3.8;3;1;5;Это здание представляет собой типичный образец современной архитектуры.
Университет 99;2.0;5;2;5;Это здание представляет собой типичный образец современной архитектуры.
Банк 74;0.2;2;2;3;Это здание построено из стандартных строительных материалов.
Виадук 2;3.9;1;5;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Мануфактура 92;1.2;1;2;2;Это здание очень функционально.
Электростанция 72;2.2;1;5;4;Это здание является примером функционального дизайна.
Университет 99;2.5;2;2;4;Это здание является примером функционального дизайна.
Банк 74;4.0;5;2;5;Это здание имеет стандартную конструкцию.
Утятник 20;3.3;3;4;4;Это здание имеет стандартную конструкцию.
Дворец 20;4.4;2;1;5;Это здание имеет стандартную конструкцию.
Пасека 52;2.6;5;5;3;Это здание имеет стандартную конструкцию.
Кинотеатр 24;1.7;3;4;1;Это здание является примером функционального дизайна.
Шмелиное гнездо 23;2.2;1;3;1;У этого здания отличная архитектура.
Аэропорт 68;1.2;1;3;5;Мне нравится дизайн этого здания.
Осатаник 61;1.9;2;2;2;У этого здания отличная архитектура.
Верблюжатник 5;3.9;1;3;4;Это здание построено из стандартных строительных материалов.
Петля 6;3.8;2;4;1;У этого здания отличная архитектура.
Церковь 65;1.8;3;2;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Шмелиное гнездо 23;4.6;5;2;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Гнездо 78;3.6;1;5;1;Это здание не имеет особых архитектурных особенностей.
Маяк 88;3.5;5;1;4;Это здание прекрасно вписывается в окружающий ландшафт.
Ферма 26;3.2;1;1;4;Это здание является примером функционального дизайна.
Муравейник 77;0.7;4;3;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Конюшня 27;3.5;5;5;3;Это здание построено из стандартных строительных материалов.
Муравейник 68;0.8;2;1;5;Это здание представляет собой типичный образец современной архитектуры.
Бункер 97;1.0;4;2;1;Это здание имеет стандартную конструкцию.
Кошара 15;3.9;5;2;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Гнездо 78;4.5;3;2;4;Это здание имеет стандартную конструкцию.
Ламарий 93;3.3;2;1;1;Это здание не имеет особых архитектурных особенностей.
Мануфактура 92;2.9;3;1;3;Это здание не имеет особых архитектурных особенностей.
Котельная 92;1.4;3;3;2;Это здание имеет стандартную конструкцию.
Церковь 97;0.3;1;4;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Паутинник 26;4.2;1;2;4;Это здание построено из стандартных строительных материалов.
Церковь 97;1.7;2;4;1;Это здание представляет собой типичный образец современной архитектуры.
Кинотеатр 84;2.9;4;5;1;Мне нравится дизайн этого здания.
Фабрика 100;4.6;2;3;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Гараж 31;2.6;5;3;4;Это великолепное здание!
Пасека 52;3.3;5;3;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Логово 16;5.0;3;1;1;Это здание очень функционально.
Гусятник 51;3.2;1;1;5;Это здание является примером функционального дизайна.
Музей 91;4.5;3;1;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Котельная 92;2.9;4;1;2;Это здание представляет собой типичный образец современной архитектуры.
Конюшня 27;4.2;4;2;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Магазин 19;2.1;2;3;5;Мне нравится дизайн этого здания.
Плантация 92;0.4;5;5;4;Это здание имеет стандартную конструкцию.
Мостки 31;4.2;4;2;1;Это здание построено из стандартных строительных материалов.
Ферма 26;1.5;4;4;3;Это здание имеет стандартную конструкцию.
Фабрика 100;4.6;1;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Кошара 15;0.3;4;4;3;Это здание является примером функционального дизайна.
Церковь 97;2.8;3;2;3;Это здание построено из стандартных строительных материалов.
Осатаник 61;1.0;5;2;5;Это здание имеет стандартную конструкцию.
Путепровод 8;3.0;3;4;3;Это здание построено из стандартных строительных материалов.
Петля 6;4.0;2;2;1;Это здание не имеет особых архитектурных особенностей.
Пасека 63;0.6;4;3;3;Это здание построено из стандартных строительных материалов.
Гараж 31;0.9;4;4;4;Это здание прекрасно вписывается в окружающий ландшафт.
Библиотека 51;2.3;4;4;1;Это здание имеет стандартную конструкцию.
Ламарий 93;1.7;1;5;2;Мне нравится дизайн этого здания.
Шмелиное гнездо 23;2.4;5;2;2;Это здание является примером функционального дизайна.
Кошара 15;4.5;2;3;4;Это здание прекрасно вписывается в окружающий ландшафт.
Магазин 19;2.4;3;3;4;Мне нравится дизайн этого здания.
Котельная 92;5.0;5;2;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Фабрика 28;3.9;4;3;3;Это здание не имеет особых архитектурных особенностей.
Муравейник 77;2.5;1;3;4;Это здание построено из стандартных строительных материалов.
Берлога 36;0.2;1;3;5;Это великолепное здание!
Гусятник 51;4.6;2;2;2;У этого здания отличная архитектура.
Лежбище 58;1.5;1;3;1;Это здание не имеет особых архитектурных особенностей.
Университет 99;0.4;2;1;2;Это здание имеет стандартную конструкцию.
ТЭЦ 5;4.9;3;4;1;Это здание прекрасно вписывается в окружающий ландшафт.
Банк 74;0.7;2;5;4;Это здание представляет собой типичный образец современной архитектуры.
Котельная 69;4.7;2;4;5;Это здание имеет стандартную конструкцию.
Фабрика 100;3.4;4;3;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Библиотека 51;2.8;5;5;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Почта 7;2.3;4;1;3;Это великолепное здание!
Аэропорт 68;0.9;4;5;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Лежбище 58;2.4;4;5;4;Это здание не имеет особых архитектурных особенностей.
Церковь 97;4.1;5;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Музей 91;3.0;5;3;1;Это здание имеет стандартную конструкцию.
Театр 68;5.0;3;5;3;Это здание не имеет особых архитектурных особенностей.
Берлога 36;1.0;3;5;4;Это здание построено из стандартных строительных материалов.
Университет 99;0.3;5;5;5;Это здание имеет стандартную конструкцию.
Лосятник 92;2.8;4;2;4;Это великолепное здание!
Мануфактура 92;0.2;3;1;2;Это здание очень функционально.
Шмелиное гнездо 23;0.6;5;1;2;Это здание построено из стандартных строительных материалов.
Музей 55;2.1;3;2;2;Это здание очень функционально.
Муравейник 77;0.6;3;3;1;Мне нравится дизайн этого здания.
Муравейник 68;2.8;1;2;2;Это здание имеет стандартную конструкцию.
Мушиный лабиринт 62;0.8;3;3;4;Это здание прекрасно вписывается в окружающий ландшафт.
Верблюжатник 5;4.0;3;4;3;Это здание не имеет особых архитектурных особенностей.
Лежбище 58;3.7;3;3;1;Это здание представляет собой типичный образец современной архитектуры.
Котельная 69;4.7;2;5;5;Это здание является примером функционального дизайна.
Бункер 97;1.4;3;3;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Пасека 63;4.2;3;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Лежбище 58;1.5;4;4;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Пасека 52;2.5;4;1;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Электростанция 72;0.2;1;1;2;Это великолепное здание!
Котельная 69;2.8;4;5;1;Это здание не имеет особых архитектурных особенностей.
Церковь 65;4.2;4;5;4;Это здание представляет собой типичный образец современной архитектуры.
Фабрика 28;1.0;2;3;3;Мне нравится дизайн этого здания.
Мануфактура 92;2.5;2;4;3;Это здание очень функционально.
Шмелиное гнездо 23;2.5;3;2;3;Мне нравится дизайн этого здания.
Гнездо 78;4.0;2;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Конюшня 27;3.5;5;1;3;Это здание является примером функционального дизайна.
Маяк 88;4.2;4;5;1;Это здание не имеет особых архитектурных особенностей.
Котельная 69;2.6;5;2;5;Это здание является примером функционального дизайна.
Логово 16;2.8;2;2;3;Это здание построено из стандартных строительных материалов.
Электростанция 72;3.0;5;1;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Мануфактура 92;1.6;5;1;4;Это здание представляет собой типичный образец современной архитектуры.
Плантация 92;3.4;3;5;1;Это здание является примером функционального дизайна.
Шмелиное гнездо 23;2.4;3;2;3;Это здание построено из стандартных строительных материалов.
Пасека 63;3.6;4;5;5;У этого здания отличная архитектура.
Академия 57;3.0;1;3;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Лосятник 92;0.7;4;4;3;Это здание прекрасно вписывается в окружающий ландшафт.
Порт 71;3.3;3;1;4;Это здание очень функционально.
Осатаник 61;1.3;4;5;1;Это великолепное здание!
Цирк 34;1.9;4;3;2;Это здание не имеет особых архитектурных особенностей.
Банк 74;0.5;4;3;4;Это здание является примером функционального дизайна.
Котельная 92;3.2;1;4;4;Это здание построено из стандартных строительных материалов.
Пасека 63;3.7;4;2;4;Это здание является примером функционального дизайна.
Муравейник 77;0.7;3;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Дворец 20;0.5;5;1;1;Это здание имеет стандартную конструкцию.
Фабрика 100;1.6;4;2;3;Мне нравится дизайн этого здания.
Магазин 19;1.7;5;5;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Конюшня 27;1.4;1;3;1;Это здание является примером функционального дизайна.
Гусятник 51;3.9;1;2;5;Это здание построено из стандартных строительных материалов.
Дворец 20;0.3;2;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Кинотеатр 24;1.4;4;2;5;Это здание представляет собой типичный образец современной архитектуры.
Почта 40;1.4;4;3;1;Это здание не имеет особых архитектурных особенностей.
Свиноферма 32;3.1;5;5;2;Это здание не имеет особых архитектурных особенностей.
Осатаник 61;3.7;4;2;2;Это здание прекрасно вписывается в окружающий ландшафт.
Осатаник 61;3.0;3;5;5;У этого здания отличная архитектура.
Театр 68;4.1;4;2;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Конюшня 27;3.7;2;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Пасека 52;1.9;1;2;3;Это здание не имеет особых архитектурных особенностей.
Берлога 36;1.0;2;3;5;Это здание построено из стандартных строительных материалов.
Электростанция 72;2.8;3;3;2;Мне нравится дизайн этого здания.
Гусятник 51;0.1;5;3;4;Это здание построено из стандартных строительных материалов.
Лежбище 58;4.4;2;1;5;Это здание имеет стандартную конструкцию.
Лежбище 58;4.5;3;1;4;Это здание прекрасно вписывается в окружающий ландшафт.
Берлога 36;1.5;4;1;5;Это здание очень функционально.
Академия 57;3.0;1;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Конюшня 27;1.4;1;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Котельная 92;4.9;1;2;5;Это здание очень функционально.
Петля 6;2.8;5;2;2;Это великолепное здание!
Пасека 52;2.4;4;3;2;Это здание построено из стандартных строительных материалов.
Конюшня 27;3.0;2;3;5;Это здание имеет стандартную конструкцию.
Кошара 99;0.3;5;1;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Кинотеатр 84;4.0;2;4;4;Это здание представляет собой типичный образец современной архитектуры.
Бункер 97;2.1;3;3;5;Мне нравится дизайн этого здания.
Бункер 97;2.1;3;1;2;Это здание имеет стандартную конструкцию.
Лосятник 92;4.3;4;4;5;У этого здания отличная архитектура.
Цирк 34;4.2;3;1;4;Это здание не имеет особых архитектурных особенностей.
Бункер 97;3.4;1;4;3;Это здание прекрасно вписывается в окружающий ландшафт.
Свиноферма 32;3.9;5;1;1;Это здание является примером функционального дизайна.
Церковь 97;2.9;2;2;5;Это великолепное здание!
Мушиный лабиринт 62;0.7;3;1;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Пасека 52;4.3;1;5;1;Это здание является примером функционального дизайна.
Академия 57;2.9;4;1;1;Это здание прекрасно вписывается в окружающий ландшафт.
Банк 74;1.8;4;1;4;Мне нравится дизайн этого здания.
Пасека 63;3.5;5;4;5;Это здание имеет стандартную конструкцию.
Свиноферма 32;2.6;1;2;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Банк 74;1.4;5;5;2;Это здание прекрасно вписывается в окружающий ландшафт.
Мостки 31;1.9;2;4;1;У этого здания отличная архитектура.
Церковь 97;3.9;1;3;3;Это здание является примером функционального дизайна.
Муравейник 77;0.3;1;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Пасека 63;3.1;3;5;3;Это здание имеет стандартную конструкцию.
Библиотека 51;0.9;1;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Дворец 20;0.1;4;4;4;Это здание имеет стандартную конструкцию.
Кубло 25;3.8;4;2;1;Это здание прекрасно вписывается в окружающий ландшафт.
Котельная 92;1.8;2;1;1;Это здание построено из стандартных строительных материалов.
Шмелиное гнездо 23;0.5;1;5;5;Это здание представляет собой типичный образец современной архитектуры.
Свиноферма 32;1.6;3;2;3;Это здание построено из стандартных строительных материалов.
Берлога 36;0.6;4;2;3;Это здание построено из стандартных строительных материалов.
Плантация 92;3.0;1;1;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Театр 68;0.3;1;2;1;Это здание представляет собой типичный образец современной архитектуры.
Маяк 88;0.9;3;3;1;У этого здания отличная архитектура.
Бункер 97;4.8;3;1;2;Это здание очень функционально.
Фабрика 100;2.0;2;5;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Логово 16;1.4;1;3;4;Это здание не имеет особых архитектурных особенностей.
Котельная 92;3.4;3;2;1;Это здание построено из стандартных строительных материалов.
Берлога 36;0.5;3;4;3;Это здание имеет стандартную конструкцию.
Конюшня 27;3.6;1;5;1;Мне нравится дизайн этого здания.
Цирк 69;1.5;5;5;2;Это здание очень функционально.
Библиотека 51;4.8;1;4;1;Мне нравится дизайн этого здания.
Фабрика 100;2.7;4;4;4;Это здание представляет собой типичный образец современной архитектуры.
Дворец 20;0.1;2;2;2;Это здание имеет стандартную конструкцию.
Цирк 69;3.6;3;3;3;Это здание прекрасно вписывается в окружающий ландшафт.
Музей 91;3.1;3;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Кошара 15;3.6;2;3;4;Это здание имеет стандартную конструкцию.
Путепровод 8;4.6;3;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Почта 7;2.6;3;1;5;Это здание не имеет особых архитектурных особенностей.
Пасека 52;1.3;2;2;2;Это здание имеет стандартную конструкцию.
Паутинник 26;0.6;4;1;2;У этого здания отличная архитектура.
Осатаник 61;2.1;2;3;5;Это великолепное здание!
Фабрика 100;2.0;2;3;4;Это великолепное здание!
Утятник 20;4.8;2;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Театр 68;0.3;4;4;2;Это здание представляет собой типичный образец современной архитектуры.
Лежбище 58;2.4;2;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Цирк 34;1.3;4;5;3;Это здание очень функционально.
Берлога 36;4.3;5;1;2;Это здание имеет стандартную конструкцию.
Котельная 92;4.1;3;4;4;Это здание является примером функционального дизайна.
Электростанция 72;2.6;4;1;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Паутинник 26;3.6;1;3;2;Это здание построено из стандартных строительных материалов.
Фабрика 100;4.1;4;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Цирк 69;2.0;4;3;1;Мне нравится дизайн этого здания.
Кинотеатр 24;2.3;4;2;4;Это здание представляет собой типичный образец современной архитектуры.
Магазин 19;3.3;3;2;5;Это великолепное здание!
Ламарий 93;3.8;5;2;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Электростанция 72;2.1;1;2;4;Это здание не имеет особых архитектурных особенностей.
Замок 81;2.5;3;2;3;Это здание прекрасно вписывается в окружающий ландшафт.
Плантация 92;3.2;2;3;5;Это здание очень функционально.
Академия 57;1.8;4;5;4;Это здание имеет стандартную конструкцию.
Банк 74;2.9;1;2;5;Это здание представляет собой типичный образец современной архитектуры.
Шмелиное гнездо 23;2.2;1;1;2;Это здание прекрасно вписывается в окружающий ландшафт.
Почта 7;0.2;3;4;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Университет 99;5.0;5;3;4;У этого здания отличная архитектура.
Мостки 31;1.1;1;3;4;Это здание представляет собой типичный образец современной архитектуры.
Бункер 97;5.0;1;5;2;Это здание является примером функционального дизайна.
Кубло 25;1.4;4;4;4;Это здание является примером функционального дизайна.
Ферма 26;3.9;1;3;5;Это здание не имеет особых архитектурных особенностей.
Путепровод 8;5.0;5;2;1;Это здание является примером функционального дизайна.
Муравейник 68;0.1;2;5;5;Это здание является примером функционального дизайна.
Мостки 31;3.0;4;1;5;Это здание построено из стандартных строительных материалов.
Плантация 92;1.4;3;4;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Маяк 88;0.9;2;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Гараж 31;4.8;5;3;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Гусятник 51;3.3;3;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Логово 16;4.5;4;5;1;Это великолепное здание!
Мушиный лабиринт 62;2.0;3;5;1;Это здание имеет стандартную конструкцию.
Пасека 63;2.4;2;3;4;Это здание представляет собой типичный образец современной архитектуры.
Порт 71;0.8;5;3;1;Мне нравится дизайн этого здания.
Библиотека 51;1.4;2;4;3;Это великолепное здание!
Университет 99;2.1;1;2;1;Это великолепное здание!
Замок 81;2.8;5;3;2;Это здание представляет собой типичный образец современной архитектуры.
Гусятник 51;1.7;1;5;1;Это великолепное здание!
Дворец 20;1.3;2;5;2;Это здание является примером функционального дизайна.
Университет 99;2.5;1;5;2;Это здание представляет собой типичный образец современной архитектуры.
Муравейник 77;5.0;5;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Верблюжатник 5;3.2;5;1;4;Это здание не имеет особых архитектурных особенностей.
Музей 91;4.2;3;1;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Банк 74;1.9;3;4;1;Это великолепное здание!
Дворец 20;4.3;5;1;3;У этого здания отличная архитектура.
Музей 91;4.9;5;2;4;Это здание является примером функционального дизайна.
Конюшня 27;4.9;1;1;1;Это великолепное здание!
Аэропорт 68;3.8;5;4;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ферма 26;2.9;3;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Кинотеатр 84;5.0;4;3;1;Это здание не имеет особых архитектурных особенностей.
Гараж 31;1.5;3;2;5;Это здание не имеет особых архитектурных особенностей.
Муравейник 77;2.4;1;2;5;У этого здания отличная архитектура.
Лежбище 58;3.0;3;3;3;Это здание прекрасно вписывается в окружающий ландшафт.
Музей 91;3.7;1;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Гусятник 51;2.3;5;1;3;Это здание является примером функционального дизайна.
Музей 91;4.4;2;3;5;Это здание не имеет особых архитектурных особенностей.
Кинотеатр 24;0.8;4;5;3;Это здание очень функционально.
Кошара 99;4.6;5;1;4;Это здание представляет собой типичный образец современной архитектуры.
